Timestamp,Fx,Fy,Fz,Mx,My,Mz
1681226038526888,0.02168109081685543,-0.007071079220622778,0.025734541937708855,-0.07166489958763123,-0.10296808183193207,-0.01013600267469883
1681226038536331,-0.4993596374988556,0.014617681503295898,-2.623828172683716,6.913291931152344,35.24144744873047,-0.27573299407958984
1681226038546314,-0.49518147110939026,0.025418996810913086,-2.6551241874694824,6.965273857116699,35.65095520019531,-0.16424179077148438
1681226038556397,-0.49179330468177795,0.02831435203552246,-2.654421329498291,6.962553024291992,35.766929626464844,-0.15767765045166016
1681226038566303,-0.49793797731399536,0.021777629852294922,-2.628063201904297,6.91500186920166,35.499210357666016,-0.2671957015991211
1681226038576116,-0.49986615777015686,0.007518291473388672,-2.5797362327575684,6.83677864074707,34.995521545410156,-0.45336151123046875
1681226038586324,-0.4977187216281891,-0.004601001739501953,-2.552537202835083,6.794439315795898,34.62099075317383,-0.556218147277832
1681226038596234,-0.49624836444854736,-0.004336118698120117,-2.564504384994507,6.8116559982299805,34.6042594909668,-0.511540412902832
1681226038606319,-0.4976072609424591,0.0065174102783203125,-2.6126861572265625,6.892926216125488,35.03178405761719,-0.3548402786254883
1681226038616335,-0.4981832504272461,0.023113012313842773,-2.651672124862671,6.952110290527344,35.534332275390625,-0.18806934356689453
1681226038626144,-0.4986146092414856,0.033234357833862305,-2.66291880607605,6.961687088012695,35.767173767089844,-0.11454391479492188
1681226038636288,-0.5022281408309937,0.03357195854187012,-2.645012378692627,6.923004150390625,35.64561080932617,-0.1457500457763672
1681226038646344,-0.5033360123634338,0.025454998016357422,-2.6094658374786377,6.86610221862793,35.31003189086914,-0.25194358825683594
1681226038656320,-0.5010448694229126,0.017719030380249023,-2.5905990600585938,6.8338303565979,35.03976058959961,-0.31877994537353516
1681226038666330,-0.4980000853538513,0.013226747512817383,-2.59334135055542,6.8468523025512695,34.99443435668945,-0.3382835388183594
1681226038676169,-0.49976280331611633,0.015223264694213867,-2.6153018474578857,6.883308410644531,35.166282653808594,-0.29026222229003906
1681226038686317,-0.49619701504707336,0.019032716751098633,-2.6197152137756348,6.890594482421875,35.29698944091797,-0.25756359100341797
1681226038696275,-0.49351030588150024,0.019057035446166992,-2.623603582382202,6.904921054840088,35.36057662963867,-0.26260948181152344
1681226038706303,-0.4933569133281708,0.016589641571044922,-2.6151204109191895,6.896693229675293,35.301231384277344,-0.3016805648803711
1681226038716286,-0.5118018984794617,0.014787435531616211,-2.6109135150909424,6.885376930236816,35.134788513183594,-0.3554220199584961
1681226038726066,-0.5136494636535645,0.011705160140991211,-2.5666213035583496,6.801133632659912,34.77907943725586,-0.43926143646240234
1681226038736292,-0.5018725991249084,0.0018210411071777344,-2.5704147815704346,6.843191623687744,34.76191711425781,-0.49994373321533203
1681226038746329,-0.48134738206863403,0.009370565414428711,-2.6002306938171387,6.884601593017578,35.06856918334961,-0.31882190704345703
1681226038756325,-0.476945698261261,0.03872966766357422,-2.674663543701172,6.9725871086120605,35.72669982910156,0.08971118927001953
1681226038766325,-0.45620962977409363,0.07080388069152832,-2.6921987533569336,6.951233863830566,36.20685577392578,0.4542112350463867
1681226038776105,-0.4632362723350525,0.06803393363952637,-2.686014175415039,6.951620578765869,36.1684684753418,0.3855915069580078
1681226038786328,-0.49136102199554443,0.03817462921142578,-2.6376218795776367,6.904570579528809,35.61724853515625,-0.07850265502929688
1681226038796292,-0.5344483256340027,-0.013480424880981445,-2.5846192836761475,6.891738414764404,34.87971496582031,-0.808384895324707
1681226038806166,-0.5611541271209717,-0.06995391845703125,-2.520332098007202,6.863210678100586,34.145172119140625,-1.5705204010009766
