time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/13/15:29:25.585871,58,0,0,,0.516882309,0.50928642,0.774124436,-2.242222309,800,800,0
2023/09/13/15:29:25.595473,59,0,0,,0.516884637,0.509287272,0.751027362,-2.241973162,800,800,0
2023/09/13/15:29:25.606187,60,0,0,,0.516882316,0.509287601,0.792225153,-2.240690708,800,800,0
2023/09/13/15:29:25.615546,61,0,0,,0.516882953,0.509288844,0.816829375,-2.240754604,800,800,0
2023/09/13/15:29:25.625670,62,0,0,,0.516882936,0.509289315,0.820594042,-2.240787745,800,800,0
2023/09/13/15:29:25.635705,63,0,0,,0.516882233,0.509289224,0.811524534,-2.242263079,800,800,0
2023/09/13/15:29:25.645431,64,0,0,,0.516884268,0.509286686,0.821462045,-2.24266243,800,800,0
2023/09/13/15:29:25.655398,65,0,0,,0.516884973,0.509288625,0.803741353,-2.244667768,800,800,0
2023/09/13/15:29:25.665598,66,0,0,,0.516885948,0.509287447,0.798306135,-2.244970083,800,800,0
2023/09/13/15:29:25.675513,67,0,0,,0.51688377,0.509287335,0.805609442,-2.244596958,800,800,0
2023/09/13/15:29:25.685515,68,0,0,,0.516887611,0.509285158,0.801283634,-2.244148254,800,800,0
2023/09/13/15:29:25.695482,69,0,0,,0.516886783,0.509287215,0.827837335,-2.242866755,800,800,0
2023/09/13/15:29:25.714372,70,0,0,,0.516880778,0.509289964,0.848353544,-2.241523981,800,800,0
2023/09/13/15:29:25.715859,71,0,0,,0.516884414,0.509289224,0.788758694,-2.241523981,800,800,0
2023/09/13/15:29:25.726386,72,0,0,,0.516883846,0.509289668,0.798945771,-2.241462708,800,800,0
2023/09/13/15:29:25.736202,73,0,0,,0.516879301,0.509289081,0.786340777,-2.241314173,800,800,0
2023/09/13/15:29:25.745731,74,0,0,,0.516882483,0.509286474,0.7872074,-2.243071795,800,800,0
2023/09/13/15:29:25.755890,75,0,0,,0.516883436,0.509286074,0.789064271,-2.24318409,800,800,0
2023/09/13/15:29:25.765677,76,0,0,,0.516881264,0.509284793,0.7926976,-2.242690563,800,800,0
2023/09/13/15:29:25.778505,77,0,0,,0.516882745,0.509285593,0.806085255,-2.243319273,800,800,0
2023/09/13/15:29:25.785518,78,0,0,,0.516882278,0.509286143,0.817844928,-2.242925882,800,800,0
2023/09/13/15:29:25.797449,79,0,0,,0.516883244,0.509286526,0.804926184,-2.242008686,800,800,0
2023/09/13/15:29:25.805953,80,0,0,,0.516886577,0.509287962,0.80431186,-2.2423563,800,800,0
2023/09/13/15:29:25.816695,81,0,0,,0.516886037,0.509290332,0.817933365,-2.24263835,800,800,0
2023/09/13/15:29:25.829759,82,0,0,,0.516883044,0.50928906,0.825813979,-2.242452145,800,800,0
2023/09/13/15:29:25.835854,83,0,0,,0.516883543,0.509288226,0.855470685,-2.243550539,800,800,0
2023/09/13/15:29:25.845522,84,0,0,,0.516884407,0.509288081,0.818049411,-2.243872643,800,800,0
2023/09/13/15:29:25.856313,85,0,0,,0.516886674,0.509286931,0.82239312,-2.24408555,800,800,0
2023/09/13/15:29:25.865745,86,0,0,,0.516883755,0.509285074,0.798373382,-2.244201422,800,800,0
2023/09/13/15:29:25.876288,87,0,0,,0.516884366,0.509286468,0.787348895,-2.243963718,800,800,0
2023/09/13/15:29:25.885705,88,0,0,,0.516886109,0.509284187,0.805127871,-2.243982077,800,800,0
2023/09/13/15:29:25.895666,89,0,0,,0.516882613,0.509289834,0.798984485,-2.244119406,800,800,0
2023/09/13/15:29:25.905616,90,0,0,,0.516884294,0.509288656,0.807396627,-2.244382143,800,800,0
2023/09/13/15:29:25.915831,91,0,0,,0.516886601,0.509289315,0.803009141,-2.244273901,800,800,0
2023/09/13/15:29:25.925515,92,0,0,,0.516885759,0.509286933,0.838925036,-2.243877411,800,800,0
2023/09/13/15:29:25.938690,93,0,0,,0.516882584,0.50928851,0.803546001,-2.243877411,800,800,0
2023/09/13/15:29:25.946254,94,0,0,,0.51688449,0.509284885,0.78678841,-2.24292779,800,800,0
2023/09/13/15:29:25.955500,95,0,0,,0.516881379,0.509286244,0.806180215,-2.242456198,800,800,0
2023/09/13/15:29:25.968492,96,0,0,,0.516883118,0.509287182,0.811151227,-2.242456198,800,800,0
2023/09/13/15:29:25.975473,97,0,0,,0.516884699,0.509286173,0.812419504,-2.242661715,800,800,0
2023/09/13/15:29:25.985656,98,0,0,,0.51688261,0.509288428,0.800831831,-2.242346525,800,800,0
2023/09/13/15:29:25.997533,99,0,0,,0.516885319,0.509287431,0.831830809,-2.24237299,800,800,0
2023/09/13/15:29:26.005436,100,0,0,,0.516884153,0.509288512,0.824549238,-2.243202925,800,800,0
2023/09/13/15:29:26.015799,101,0,0,,0.516885539,0.509287667,0.819438082,-2.243233681,800,800,0
2023/09/13/15:29:26.025635,102,0,0,,0.516885923,0.509287634,0.817440319,-2.243937254,800,800,0
2023/09/13/15:29:26.036347,103,0,0,,0.516884304,0.509286575,0.819431863,-2.244214773,800,800,0
2023/09/13/15:29:26.048552,104,0,0,,0.516884065,0.509286067,0.830175674,-2.244453669,800,800,0
2023/09/13/15:29:26.059216,105,0,0,,0.516884346,0.50928847,0.810955437,-2.243673801,800,800,0
2023/09/13/15:29:26.069353,106,0,0,,0.51688666,0.509288521,0.822774049,-2.243371487,800,800,0
2023/09/13/15:29:26.075535,107,0,0,,0.516880908,0.509287238,0.806866631,-2.243041754,800,800,0
2023/09/13/15:29:26.086744,108,0,0,,0.516887308,0.509286511,0.788850826,-2.243709326,800,800,0
2023/09/13/15:29:26.096429,109,0,0,,0.516882913,0.509288564,0.807615054,-2.242969275,800,800,0
2023/09/13/15:29:26.106571,110,0,0,,0.516883338,0.509288224,0.811047954,-2.242913485,800,800,0
2023/09/13/15:29:26.120453,111,0,0,,0.516886067,0.509287689,0.81362357,-2.243455887,800,800,0
2023/09/13/15:29:26.140585,112,0,0,,0.516882299,0.509286557,0.806247863,-2.242806911,800,800,0
2023/09/13/15:29:26.140610,113,0,0,,0.51688599,0.509288328,0.795343987,-2.240981817,800,800,0
2023/09/13/15:29:26.147393,114,0,0,,0.516884358,0.509289476,0.843605513,-2.240868092,800,800,0
2023/09/13/15:29:26.155751,115,0,0,,0.516885316,0.509288198,0.822470211,-2.241147995,800,800,0
2023/09/13/15:29:26.166887,116,0,0,,0.51688353,0.509288128,0.807932717,-2.240330696,800,800,0
2023/09/13/15:29:26.176191,117,0,0,,0.516885616,0.509286853,0.823441279,-2.241475582,800,800,0
2023/09/13/15:29:26.186839,118,0,0,,0.516882242,0.50928792,0.810723784,-2.24251771,800,800,0
2023/09/13/15:29:26.196249,119,0,0,,0.516883216,0.509286548,0.785686447,-2.24268961,800,800,0
2023/09/13/15:29:26.207223,120,0,0,,0.516885717,0.509286554,0.753011145,-2.242678881,800,800,0
2023/09/13/15:29:26.219879,121,0,0,,0.516880888,0.509287302,0.775497067,-2.243002176,800,800,0
2023/09/13/15:29:26.226191,122,0,0,,0.516884586,0.509288371,0.775062202,-2.242974758,800,800,0
2023/09/13/15:29:26.236543,123,0,0,,0.516884526,0.509287126,0.811867618,-2.243015766,800,800,0
2023/09/13/15:29:26.251697,124,0,0,,0.516882165,0.509287347,0.82563272,-2.242321014,800,800,0
2023/09/13/15:29:26.263236,125,0,0,,0.51688454,0.509288014,0.825625368,-2.242448807,800,800,0
2023/09/13/15:29:26.267531,126,0,0,,0.516884506,0.509288833,0.846125576,-2.242448807,800,800,0
2023/09/13/15:29:26.275715,127,0,0,,0.516883446,0.50928789,0.830717171,-2.242288351,800,800,0
2023/09/13/15:29:26.285733,128,0,0,,0.516883646,0.509288228,0.827188617,-2.241362095,800,800,0
2023/09/13/15:29:26.295582,129,0,0,,0.516883526,0.509286288,0.817926443,-2.242692709,800,800,0
2023/09/13/15:29:26.306507,130,0,0,,0.516885365,0.509285924,0.788574847,-2.242045641,800,800,0
2023/09/13/15:29:26.324503,131,0,0,,0.516882188,0.509286921,0.79230582,-2.242045641,800,800,0
2023/09/13/15:29:26.330336,132,0,0,,0.516884254,0.509287727,0.807346045,-2.241471767,800,800,0
2023/09/13/15:29:26.337427,133,0,0,,0.516884139,0.509286851,0.81235396,-2.243015528,800,800,0
2023/09/13/15:29:26.345536,134,0,0,,0.516888763,0.509288625,0.804881499,-2.24229455,800,800,0
2023/09/13/15:29:26.356602,135,0,0,,0.516884601,0.509289781,0.828280579,-2.243517399,800,800,0
2023/09/13/15:29:26.365786,136,0,0,,0.516883351,0.509288355,0.803798807,-2.244612455,800,800,0
2023/09/13/15:29:26.377942,137,0,0,,0.516887951,0.509287393,0.831802148,-2.245016336,800,800,0
2023/09/13/15:29:26.390416,138,0,0,,0.5168842,0.509288443,0.816210739,-2.244158745,800,800,0
2023/09/13/15:29:26.395518,139,0,0,,0.516882229,0.509286098,0.780243169,-2.244296074,800,800,0
2023/09/13/15:29:26.405593,140,0,0,,0.516885106,0.50928613,0.800574216,-2.244256496,800,800,0
2023/09/13/15:29:26.420429,141,0,0,,0.516885296,0.509286932,0.775105835,-2.243858099,800,800,0
2023/09/13/15:29:26.428444,142,0,0,,0.516885295,0.50928714,0.779594688,-2.245012999,800,800,0
2023/09/13/15:29:26.435574,143,0,0,,0.516884912,0.509286777,0.780706629,-2.24597621,800,800,0
2023/09/13/15:29:26.451169,144,0,0,,0.51688497,0.509289181,0.811474561,-2.246900797,800,800,0
2023/09/13/15:29:26.461159,145,0,0,,0.516883677,0.509287478,0.773470498,-2.246574879,800,800,0
2023/09/13/15:29:26.465823,146,0,0,,0.51688425,0.509287929,0.797337342,-2.245428562,800,800,0
2023/09/13/15:29:26.486553,147,0,0,,0.516885051,0.509287724,0.800330059,-2.245428562,800,800,0
2023/09/13/15:29:26.486836,148,0,0,,0.516885051,0.509287724,0.800330059,-2.245428562,800,800,0
2023/09/13/15:29:26.497210,149,0,0,,0.516882746,0.509286867,0.848031278,-2.244048834,800,800,0
2023/09/13/15:29:26.527891,150,0,0,,0.516882865,0.509286117,0.840031164,-2.243805647,800,800,0
2023/09/13/15:29:26.527905,151,0,0,,0.516882865,0.509286117,0.840031164,-2.243805647,800,800,0
2023/09/13/15:29:26.527909,152,0,0,,0.516885245,0.509287705,0.868482023,-2.244841576,800,800,0
2023/09/13/15:29:26.535695,153,0,0,,0.516884646,0.509287531,0.82876772,-2.244273186,800,800,0
2023/09/13/15:29:26.546276,154,0,0,,0.516884646,0.509288354,0.82876772,-2.244702816,800,800,0
2023/09/13/15:29:26.555765,155,0,0,,0.516882983,0.509288935,0.835009511,-2.24495101,800,800,0
2023/09/13/15:29:26.567549,156,0,0,,0.516884338,0.50928951,0.8335177,-2.244291782,800,800,0
2023/09/13/15:29:26.577429,157,0,0,,0.516883612,0.509288317,0.78076105,-2.243550062,800,800,0
2023/09/13/15:29:26.591853,158,0,0,,0.516885096,0.509286919,0.80377921,-2.243550062,800,800,0
2023/09/13/15:29:26.598491,159,0,0,,0.516884805,0.509286776,0.795193369,-2.242370129,800,800,0
2023/09/13/15:29:26.605805,160,0,0,,0.516884974,0.509287461,0.793460582,-2.242597103,800,800,0
2023/09/13/15:29:26.620646,161,0,0,,0.516882714,0.50928634,0.805767494,-2.242331505,800,800,0
2023/09/13/15:29:26.628571,162,0,0,,0.51688228,0.509286376,0.813870355,-2.243273497,800,800,0
2023/09/13/15:29:26.642012,163,0,0,,0.516882762,0.50928736,0.832366116,-2.243103743,800,800,0
2023/09/13/15:29:26.649717,164,0,0,,0.51688225,0.509286593,0.809033369,-2.244086504,800,800,0
2023/09/13/15:29:26.663274,165,0,0,,0.516882838,0.50928571,0.841415404,-2.243885517,800,800,0
2023/09/13/15:29:26.667810,166,0,0,,0.516884237,0.509287142,0.818880937,-2.243745804,800,800,0
2023/09/13/15:29:26.677933,167,0,0,,0.516882566,0.509288987,0.818303009,-2.244488955,800,800,0
